CreateDate,05/21/2025,,,
Mode,B-Mode,,,
Point,X-Position,X-Speed,Y-Position,Y-Speed
237,-10.5,0,64.62,219.980064760215
238,-10.5,0,66.62,216.729223426605
239,-10.5,0,68.62,211.51640763813
240,-10.5,0,70.62,206.35338614027
241,-10.5,0,72.62,201.241358617034
242,-10.5,0,74.62,196.28215115209
243,-10.5,0,76.62,192.217532892798
244,-10.5,0,78.62,189.314481342001
245,-10.5,0,80.62,187.466904919948
246,-10.5,0,82.62,186.268512075763
247,-10.5,0,84.62,185.087576034866
248,-10.5,0,86.62,183.926496082553
249,-10.5,0,88.62,182.787777531065
250,-10.5,0,90.62,139.160923702031
251,-10.5,0,92.62,138.135469379218
252,-10.5,0,94.62,137.141502930287
253,-10.5,0,96.62,128.223897718248
254,-10.5,0,98.62,120.30603146474
255,-10.5,0,100.62,107.400212229445
256,-10.5,0,102.62,88.1351255952215
257,-10.5,0,104.62,80.4448847861081
258,-10.5,0,106.62,79.8852873387406
259,-10.5,0,108.62,76.1107911465743
260,-10.5,0,110.62,69.8230859925434
261,-10.5,0,112.62,66.8064332317125
262,-10.5,0,114.62,61.6028597644874
263,-10.5,0,116.62,59.1416459144857
264,-10.5,0,118.62,58.8862657111005
265,-10.5,0,120.62,58.6673308929607
266,-10.5,0,122.62,58.4854946230809
267,-10.5,0,124.62,61.2432874928229
268,-10.5,0,126.62,65.3959196050388
269,-10.5,0,128.62,70.1233883484685
270,-10.5,0,130.62,75.559305707521
271,-10.5,0,132.62,80.0993187488925
272,-10.5,0,134.62,79.6491507188483
273,-10.5,0,136.62,79.1786131955202
274,-10.5,0,138.62,78.6919623775467
275,-10.5,0,140.62,78.1901852975186
276,-10.5,0,142.62,77.8731826021591
277,-10.5,0,144.62,78.16772740812
278,-10.5,0,146.62,78.5068848069151
279,-10.5,0,148.62,78.8895945396078
280,-10.5,0,150.62,79.3146872097497
281,-10.5,0,152.62,84.2324166573248
282,-10.5,0,154.62,95.2275630467896
283,-10.5,0,156.62,101.803085513633
284,-10.5,0,158.62,102.480314688283
285,-10.5,0,160.62,103.197933802361
286,-10.5,0,162.62,121.901328996159
287,-10.5,0,164.62,131.463864874347
288,-10.5,0,166.62,137.195020292172
289,-10.5,0,168.62,148.735723813086
290,-10.5,0,170.62,149.773082037769
291,-10.5,0,172.62,150.840768427107
292,-10.5,0,174.62,163.696151841867
293,-10.5,0,176.62,178.672879961131
294,-10.5,0,178.62,179.844455369636
295,-10.5,0,180.62,181.035175401265
296,-10.5,0,182.62,182.242716478637
297,-10.5,0,184.62,183.46486376423
298,-10.5,0,186.62,179.284244060946
299,-10.5,0,188.62,178.005523590567
300,-10.5,0,190.62,178.238072878945
301,-10.5,0,192.62,178.6546228864
302,-10.5,0,194.62,179.03511572363
303,-10.5,0,196.62,179.376735702204
304,-10.5,0,198.62,179.676997125434
305,-10.5,0,200.62,180.954518539681
306,-10.5,0,202.62,182.232894969334
307,-10.5,0,204.62,183.510962870228
308,-10.5,0,206.62,184.787643589731
309,-9.5,100,206.62,0
310,-9.5,0,204.62,182.894022688227
311,-9.5,0,202.62,181.598159949489
312,-9.5,0,200.62,180.301533942517
313,-9.5,0,198.62,179.005313789279
314,-9.5,0,196.62,178.198678523655
315,-9.5,0,194.62,177.859618177863
316,-9.5,0,192.62,177.480616513408
317,-9.5,0,190.62,177.064393028041
318,-9.5,0,188.62,176.72225958281
319,-9.5,0,186.62,175.966183032332
320,-9.5,0,184.62,179.909005008232
321,-9.5,0,182.62,181.403142348793
322,-9.5,0,180.62,180.172769418371
323,-9.5,0,178.62,178.958999176572
324,-9.5,0,176.62,177.764211968288
325,-9.5,0,174.62,176.590899883806
326,-9.5,0,172.62,149.912721105786
327,-9.5,0,170.62,148.824048665871
328,-9.5,0,168.62,147.765864298665
329,-9.5,0,166.62,141.275351137992
330,-9.5,0,164.62,130.494670560213
331,-9.5,0,162.62,125.174390097017
332,-9.5,0,160.62,102.308620335527
333,-9.5,0,158.62,101.577189591408
334,-9.5,0,156.62,100.886704483673
335,-9.5,0,154.62,94.3334587186286
336,-9.5,0,152.62,90.9716269420529
337,-9.5,0,150.62,78.5009432228045
338,-9.5,0,148.62,78.0676895649835
339,-9.5,0,146.62,77.6775453808165
340,-9.5,0,144.62,77.331729505976
341,-9.5,0,142.62,77.0313479311336
342,-9.5,0,140.62,77.3388798848261
343,-9.5,0,138.62,77.8309244077649
344,-9.5,0,136.62,78.3092375698811
345,-9.5,0,134.62,78.7729003024929
346,-9.5,0,132.62,79.2177373141577
347,-9.5,0,130.62,74.7141629580721
348,-9.5,0,128.62,69.3253537543497
349,-9.5,0,126.62,64.6419318693358
350,-9.5,0,124.62,60.5305743877423
351,-9.5,0,122.62,57.8027776665804
352,-9.5,0,120.62,57.9879892652306
353,-9.5,0,118.62,58.2109577762365
354,-9.5,0,116.62,59.5212326608034
355,-9.5,0,114.62,60.9180561517589
356,-9.5,0,112.62,66.0860380985629
357,-9.5,0,110.62,71.9138958369145
358,-9.5,0,108.62,75.3391246278325
359,-9.5,0,106.62,79.0995034502348
360,-9.5,0,104.62,79.669293370844
361,-9.5,0,102.62,91.2302823725482
362,-9.5,0,100.62,106.498759768734
363,-9.5,0,98.62,119.366828588642
364,-9.5,0,96.62,135.208910325145
365,-9.5,0,94.62,136.18816174936
366,-9.5,0,92.62,137.201606577473
367,-9.5,0,90.62,156.585702397125
368,-9.5,0,88.62,181.843413040984
369,-9.5,0,86.62,183.005857013324
370,-9.5,0,84.62,184.190586791597
371,-9.5,0,82.62,185.395028778068
372,-9.5,0,80.62,186.616722545268
373,-9.5,0,78.62,189.13043052785
374,-9.5,0,76.62,192.467830713718
375,-9.5,0,74.62,197.326381143287
376,-9.5,0,72.62,202.437224865674
377,-9.5,0,70.62,207.602298924477
378,-9.5,0,68.62,212.81990022779
379,-9.5,0,66.62,218.089143136924
380,-9.5,0,64.62,219.328722164416
381,-9.5,0,62.62,220.566545444631
382,-9.5,0,60.62,221.801367355919
383,-9.5,0,58.62,223.032046739461
384,-9.5,0,56.62,224.257541559966
385,-9.5,0,54.62,222.85939854224
386,-8.5,100,54.62,0
387,-8.5,0,56.62,222.96239447142
388,-8.5,0,58.62,222.438757648381
389,-8.5,0,60.62,221.188799420756
390,-8.5,0,62.62,219.934126473815
391,-8.5,0,64.62,218.675882342784
392,-8.5,0,66.62,217.415318280233
393,-8.5,0,68.62,214.109974951225
394,-8.5,0,70.62,208.834770864585
395,-8.5,0,72.62,203.613977590036
396,-8.5,0,74.62,198.449006153425
397,-8.5,0,76.62,193.442136353305
398,-8.5,0,78.62,190.391311032976
399,-8.5,0,80.62,186.397109529664
400,-8.5,0,82.62,184.516970031861
401,-8.5,0,84.62,183.288484938489
402,-8.5,0,86.62,182.079542890997
403,-8.5,0,88.62,180.892787034861
404,-8.5,0,90.62,179.73097532338
405,-8.5,0,92.62,136.263089023847
406,-8.5,0,94.62,135.229684748518
407,-8.5,0,96.62,134.230743917224
408,-8.5,0,98.62,118.42273434496
409,-8.5,0,100.62,111.235535907325
410,-8.5,0,102.62,99.6012842118623
411,-8.5,0,104.62,78.8908325243423
412,-8.5,0,106.62,78.3105810447071
413,-8.5,0,108.62,77.7688048230799
414,-8.5,0,110.62,71.1535799712005
415,-8.5,0,112.62,65.3628077827821
416,-8.5,0,114.62,62.5176319400038
417,-8.5,0,116.62,58.8382210008026
418,-8.5,0,118.62,57.5329452351786
419,-8.5,0,120.62,57.3058241505579
420,-8.5,0,122.62,57.117136515856
421,-8.5,0,124.62,59.8145760176927
422,-8.5,0,126.62,63.8841605018028
423,-8.5,0,128.62,68.5229749916429
424,-8.5,0,130.62,73.8640385744939
425,-8.5,0,132.62,78.33065256061
426,-8.5,0,134.62,77.8912474375293
427,-8.5,0,136.62,77.4345988287902
428,-8.5,0,138.62,76.9647983374248
429,-8.5,0,140.62,76.4826941101634
430,-8.5,0,142.62,76.1848482932878
431,-8.5,0,144.62,76.4912435712515
432,-8.5,0,146.62,76.8439166993414
433,-8.5,0,148.62,77.2417134358227
434,-8.5,0,150.62,82.0520062284526
435,-8.5,0,152.62,90.0791201511267
436,-8.5,0,154.62,96.2738996922529
437,-8.5,0,156.62,99.96542134187
438,-8.5,0,158.62,100.669524244272
439,-8.5,0,160.62,107.861591649384
440,-8.5,0,162.62,124.197168058767
441,-8.5,0,164.62,134.278287288172
442,-8.5,0,166.62,140.29138547252
443,-8.5,0,168.62,146.79031449614
444,-8.5,0,170.62,147.869844930973
445,-8.5,0,172.62,160.684364462568
446,-8.5,0,174.62,175.653270434601
447,-8.5,0,176.62,176.850448831296
448,-8.5,0,178.62,178.068980546164
449,-8.5,0,180.62,179.306308868819
450,-8.5,0,182.62,180.559996015126
451,-8.5,0,184.62,176.413390568281
452,-8.5,0,186.62,175.169509516168
453,-8.5,0,188.62,175.014911416186
454,-8.5,0,190.62,175.888345631286
455,-8.5,0,192.62,176.304631289788
456,-8.5,0,194.62,176.682520681666
457,-8.5,0,196.62,177.019392401854
458,-8.5,0,198.62,178.333350395756
459,-8.5,0,200.62,179.648513945549
460,-8.5,0,202.62,180.963615160706
461,-8.5,0,204.62,182.277480269288
462,-8.5,0,206.62,183.589025271184
463,-7.5,100,206.62,0
464,-7.5,0,204.62,181.661483855274
465,-7.5,0,202.62,180.329410964353
466,-7.5,0,200.62,178.995610619192
467,-7.5,0,198.62,177.661260246682
468,-7.5,0,196.62,176.327634169839
469,-7.5,0,194.62,175.483679629274
470,-7.5,0,192.62,175.107210360695
471,-7.5,0,190.62,174.691243494308
472,-7.5,0,188.62,174.238649555092
473,-7.5,0,186.62,173.860797408217
474,-7.5,0,184.62,173.07032389912
475,-7.5,0,182.62,176.975656921555
476,-7.5,0,180.62,178.435916742101
477,-7.5,0,178.62,177.174513198872
478,-7.5,0,176.62,175.931693467314
479,-7.5,0,174.62,174.710079852362
480,-7.5,0,172.62,159.727507795148
481,-7.5,0,170.62,146.91055648393
482,-7.5,0,168.62,145.809146416795
483,-7.5,0,166.62,144.741286669861
484,-7.5,0,164.62,133.282922026158
485,-7.5,0,162.62,123.214354283286
486,-7.5,0,160.62,118.14174971634
487,-7.5,0,158.62,99.7573559769068
488,-7.5,0,156.62,99.0392609958422
489,-7.5,0,154.62,95.3525304266144
490,-7.5,0,152.62,91.9279240660708
491,-7.5,0,150.62,81.1973086694689
492,-7.5,0,148.62,76.4116657199591
493,-7.5,0,146.62,76.0059895396174
494,-7.5,0,144.62,75.6462521580803
495,-7.5,0,142.62,75.3336587566868
496,-7.5,0,140.62,75.621595652794
497,-7.5,0,138.62,76.0935451671771
498,-7.5,0,136.62,76.5546524605405
499,-7.5,0,134.62,77.0041434311019
500,-7.5,0,132.62,77.4380130824509
501,-7.5,0,130.62,73.0088884372236
502,-7.5,0,128.62,67.7162171717181
503,-7.5,0,126.62,63.1225789574663
504,-7.5,0,124.62,59.0952735111957
505,-7.5,0,122.62,56.4285586280212
506,-7.5,0,120.62,56.6208273288948
507,-7.5,0,118.62,56.8522248815015
508,-7.5,0,116.62,59.2242268504455
509,-7.5,0,114.62,61.8066757798814
510,-7.5,0,112.62,67.1831751444989
511,-7.5,0,110.62,70.3901832582029
512,-7.5,0,108.62,76.9665823775213
513,-7.5,0,106.62,77.5185527331329
514,-7.5,0,104.62,85.0246377466718
515,-7.5,0,102.62,103.885002502593
516,-7.5,0,100.62,110.297336040071
517,-7.5,0,98.62,124.410445957798
518,-7.5,0,96.62,133.247010904573
519,-7.5,0,94.62,134.266145977919
520,-7.5,0,92.62,135.320003485704
521,-7.5,0,90.62,178.749206836931
522,-7.5,0,88.62,179.935977188806
523,-7.5,0,86.62,181.147645315179
524,-7.5,0,84.62,182.38137430921
525,-7.5,0,82.62,184.269354243021
526,-7.5,0,80.62,187.21961064012
527,-7.5,0,78.62,189.558292460554
528,-7.5,0,76.62,194.461712635819
529,-7.5,0,74.62,199.623085182012
530,-7.5,0,72.62,204.843800154038
531,-7.5,0,70.62,210.121932705316
532,-7.5,0,68.62,215.456381081704
533,-7.5,0,66.62,216.739803164231
534,-7.5,0,64.62,218.02168808551
535,-7.5,0,62.62,219.300663154479
536,-7.5,0,60.62,220.575472758492
537,-7.5,0,58.62,221.844972279306
538,-7.5,0,56.62,220.474182893853
539,-7.5,0,54.62,219.352756999247
540,-6.5,100,54.62,0
541,-6.5,0,56.62,218.707727113334
542,-6.5,0,58.62,220.525791560388
543,-6.5,0,60.62,219.961536035362
544,-6.5,0,62.62,218.666305118476
545,-6.5,0,64.62,217.366289321439
546,-6.5,0,66.62,216.062747245006
547,-6.5,0,68.62,214.757058332202
548,-6.5,0,70.62,211.395477369952
549,-6.5,0,72.62,206.056915243827
550,-6.5,0,74.62,200.777721488182
551,-6.5,0,76.62,195.559535135507
552,-6.5,0,78.62,192.335661380442
553,-6.5,0,80.62,187.414458200447
554,-6.5,0,82.62,183.382520707331
555,-6.5,0,84.62,181.469368396572
556,-6.5,0,86.62,180.210265544393
557,-6.5,0,88.62,178.973070744296
558,-6.5,0,90.62,177.760701479555
559,-6.5,0,92.62,152.543509431332
560,-6.5,0,94.62,133.297627309528
561,-6.5,0,96.62,132.257778945677
562,-6.5,0,98.62,123.42822403714
563,-6.5,0,100.62,115.612765324392
564,-6.5,0,102.62,102.955047444043
565,-6.5,0,104.62,84.1911751853528
566,-6.5,0,106.62,76.7234546092315
567,-6.5,0,108.62,76.1610090717092
568,-6.5,0,110.62,72.5009235878308
569,-6.5,0,112.62,66.4318532556861
570,-6.5,0,114.62,63.5245903086062
571,-6.5,0,116.62,58.5256943182272
572,-6.5,0,118.62,56.1687943512783
573,-6.5,0,120.62,55.9329911442413
574,-6.5,0,122.62,55.7370317784049
575,-6.5,0,124.62,58.3726480899801
576,-6.5,0,126.62,62.3571605637984
577,-6.5,0,128.62,66.9050450722316
578,-6.5,0,130.62,72.1486679075559
579,-6.5,0,132.62,76.5397668489328
580,-6.5,0,134.62,76.111539089234
581,-6.5,0,136.62,75.6693536576919
582,-6.5,0,138.62,75.2171258789356
583,-6.5,0,140.62,74.755552509373
584,-6.5,0,142.62,74.4777550860473
585,-6.5,0,144.62,74.7967389291903
586,-6.5,0,146.62,75.163756225953
587,-6.5,0,148.62,75.5775479842827
588,-6.5,0,150.62,85.1763751035745
589,-6.5,0,152.62,91.0075987401065
590,-6.5,0,154.62,97.4206383889812
591,-6.5,0,156.62,98.1082528069056
592,-6.5,0,158.62,98.8407270536992
593,-6.5,0,160.62,117.152238459444
594,-6.5,0,162.62,126.586633561229
595,-6.5,0,164.62,132.281750273572
596,-6.5,0,166.62,143.732352999252
597,-6.5,0,168.62,144.822440412581
598,-6.5,0,170.62,145.946277542744
599,-6.5,0,172.62,172.538648664835
600,-6.5,0,174.62,173.761428178858
601,-6.5,0,176.62,175.008058348917
602,-6.5,0,178.62,176.275720356438
603,-6.5,0,180.62,177.561725402079
604,-6.5,0,182.62,172.189312223547
605,-6.5,0,184.62,172.246343187997
606,-6.5,0,186.62,172.549726495759
607,-6.5,0,188.62,173.038315126352
608,-6.5,0,190.62,173.492201375097
609,-6.5,0,192.62,173.908252910989
610,-6.5,0,194.62,174.283695136411
611,-6.5,0,196.62,175.635645838705
612,-6.5,0,198.62,176.989202862855
613,-6.5,0,200.62,178.34298189583
614,-6.5,0,202.62,179.695703233088
615,-6.5,0,204.62,181.046186857389
616,-6.5,0,206.62,167.235239597305
617,-5.5,100,206.62,0
618,-5.5,0,204.62,172.354062088633
619,-5.5,0,202.62,179.062653457836
620,-5.5,0,200.62,177.69079169663
621,-5.5,0,198.62,176.317344132679
622,-5.5,0,196.62,174.943594722653
623,-5.5,0,194.62,173.57093521125
624,-5.5,0,192.62,172.687857626811
625,-5.5,0,190.62,172.271994376249
626,-5.5,0,188.62,171.817158824915
627,-5.5,0,186.62,171.326392205063
628,-5.5,0,184.62,170.911082446144
629,-5.5,0,182.62,170.084831371024
630,-5.5,0,180.62,173.948762129495
631,-5.5,0,178.62,175.372735239117
632,-5.5,0,176.62,174.079666035873
633,-5.5,0,174.62,172.80742554536
634,-5.5,0,172.62,171.558908630561
635,-5.5,0,170.62,156.595258459985
636,-5.5,0,168.62,143.830285709516
637,-5.5,0,166.62,142.717392504071
638,-5.5,0,164.62,136.245447834786
639,-5.5,0,162.62,125.575508111214
640,-5.5,0,160.62,120.302375376254
641,-5.5,0,158.62,104.231985251652
642,-5.5,0,156.62,97.1724309224773
643,-5.5,0,154.62,96.4706942257936
644,-5.5,0,152.62,90.082299435818
645,-5.5,0,150.62,86.8057131705398
646,-5.5,0,148.62,78.9883552715691
647,-5.5,0,146.62,74.3172107692912
648,-5.5,0,144.62,73.9426887668514
649,-5.5,0,142.62,73.6171138257509
650,-5.5,0,140.62,73.8845330511747
651,-5.5,0,138.62,74.3355014699376
652,-5.5,0,136.62,74.7786573317529
653,-5.5,0,134.62,75.2133847171093
654,-5.5,0,132.62,75.6358611961576
655,-5.5,0,130.62,71.2833318202443
656,-5.5,0,128.62,66.089423136303
657,-5.5,0,126.62,61.5878785299391
658,-5.5,0,124.62,57.646681090559
659,-5.5,0,122.62,55.042544096183
660,-5.5,0,120.62,55.2423085577564
661,-5.5,0,118.62,56.4891957180192
662,-5.5,0,116.62,57.824412534016
663,-5.5,0,114.62,62.7855972212519
664,-5.5,0,112.62,68.3961204387833
665,-5.5,0,110.62,71.7072251833483
666,-5.5,0,108.62,75.3521145517756
667,-5.5,0,106.62,75.9253264929129
668,-5.5,0,104.62,96.135688431824
669,-5.5,0,102.62,102.02054214005
670,-5.5,0,100.62,114.635953395696
671,-5.5,0,98.62,130.240129440619
672,-5.5,0,96.62,131.263123702404
673,-5.5,0,94.62,132.324218929877
674,-5.5,0,92.62,175.554774721695
675,-5.5,0,90.62,176.765540637398
676,-5.5,0,88.62,178.004165105654
