0.0000,0.0097,0.0323,0.0777,0.1243,0.1719,0.2704,0.3461,0.4509,0.5799,0.7520,1.0346,1.5378,2.0779,2.6816,3.2541,2.5872,1.7146,0.5103,0.6821,0.3338,0.2021,0.1344,0.0957,0.0568,0.0310,0.0192,0.0126,0.0097,0.0030,0.0014
0.0000,0.0097,0.0331,0.0540,0.1284,0.1778,0.2799,0.3585,0.4672,0.6011,0.7799,1.0734,1.5963,2.1576,2.7851,1.0636,2.6870,1.7800,1.2072,0.7070,0.3451,0.2084,0.1382,0.0981,0.0579,0.0313,0.0197,0.0127,0.0097,0.0030,0.0014
0.0000,0.0143,0.0549,0.1205,0.1876,0.2565,0.3985,0.5076,0.6587,0.8445,1.0926,1.4998,2.2252,3.0037,3.8738,4.6988,3.7378,2.4800,1.6856,0.9917,0.4898,0.3000,0.2025,0.1467,0.0909,0.0535,0.0312,0.0187,0.0144,0.0044,0.0021
0.0000,0.0254,0.1022,0.2065,0.3134,0.4231,0.6487,0.8221,1.0622,1.3569,1.7504,2.3957,3.5446,4.7776,6.1557,7.4614,5.9402,3.9483,2.6901,1.5911,0.7960,0.4950,0.3400,0.2509,0.1620,0.1023,0.0662,0.0376,0.0250,0.0071,0.0034
0.0000,0.0469,0.1570,0.3063,0.4594,0.6164,0.9389,1.1870,1.5299,1.9510,2.5129,3.4342,5.0742,6.8342,8.8014,10.6645,8.4938,5.6507,3.8547,2.2858,1.1508,0.7209,0.4993,0.3719,0.2445,0.1589,0.1069,0.0657,0.0455,0.0102,0.0049
0.0000,0.0696,0.2143,0.4107,0.6120,0.8185,1.2423,1.5684,2.0189,2.5720,3.3100,4.5198,6.6735,8.9847,11.5678,14.0140,11.1639,7.4304,5.0719,3.0118,1.5213,0.9566,0.6656,0.4982,0.3306,0.2180,0.1494,0.0950,0.0682,0.0134,0.0065
0.0000,0.0906,0.2675,0.5078,0.7540,1.0064,1.5246,1.9231,2.4737,3.1496,4.0515,5.5298,8.1620,10.9868,14.1441,17.1340,13.6503,9.0869,6.2043,3.6865,1.8649,1.1752,0.8196,0.6150,0.4103,0.2726,0.1887,0.1220,0.0892,0.0164,0.0079
0.0000,0.1215,0.3446,0.6478,0.9585,1.2771,1.9306,2.4332,3.1274,3.9794,5.1161,6.9795,10.2975,13.8583,17.8385,21.6078,17.2160,11.4629,7.8293,4.6556,2.3596,1.4902,1.0420,0.7841,0.5259,0.3521,0.2461,0.1618,0.1201,0.0225,0.0099
0.0000,0.1540,0.4258,0.7951,1.1737,1.5617,2.3574,2.9694,3.8142,4.8511,6.2344,8.5020,12.5403,16.8743,21.7193,26.3079,20.9614,13.9580,9.5353,5.6726,2.8783,1.8206,1.2755,0.9617,0.6474,0.4358,0.3065,0.2036,0.1526,0.0310,0.0121
0.0000,0.1900,0.5152,0.9572,1.4103,1.8747,2.8266,3.5586,4.5690,5.8086,7.4621,10.1731,15.0019,20.1843,25.9784,31.4672,25.0717,16.6955,11.4070,6.7882,3.4472,2.1832,1.5320,1.1569,0.7810,0.5279,0.3731,0.2499,0.1886,0.0434,0.0145
0.0000,0.2296,0.6136,1.1353,1.6701,2.2182,3.3414,4.2049,5.3965,6.8580,8.8070,12.0026,17.6958,23.8056,30.6379,37.1130,29.5681,19.6892,13.4543,8.0089,4.0699,2.5806,1.8132,1.3713,0.9280,0.6293,0.4466,0.3011,0.2285,0.0572,0.0187
0.0000,0.3136,0.8196,1.5071,2.2120,2.9346,4.4142,5.5519,7.1212,9.0453,11.6101,15.8139,23.3027,31.3371,40.3223,44.7168,38.9143,25.9192,17.7199,10.5575,5.3753,3.4156,2.4052,1.8225,1.2380,0.8437,0.6021,0.4095,0.3131,0.0879,0.0325
0.0000,0.4736,1.2102,2.2114,3.2382,4.2910,5.1393,5.8619,10.3869,12.1260,16.9189,23.0312,33.9145,45.5840,58.6307,71.0074,56.5836,37.7074,25.7983,15.3894,7.8549,5.0033,3.5311,2.6807,1.8281,1.2521,0.8987,0.6167,0.4746,0.1472,0.0666
0.0000,0.6688,1.6862,3.0695,4.4883,5.9433,8.9183,11.2082,10.2784,18.2332,23.3857,31.8209,46.8318,62.9091,80.8604,97.9066,78.0356,52.0396,35.6319,21.2755,10.8780,6.9398,4.9045,3.7274,2.5478,1.7504,1.2604,0.8694,0.6717,0.2199,0.1087
0.0000,0.8583,2.1483,3.9020,5.7012,7.5465,11.3180,14.2221,18.2245,23.1295,29.6611,40.3500,59.3607,79.6862,102.2763,123.6958,98.6971,65.9140,45.1699,26.9886,13.8136,8.8206,6.2382,4.7440,3.2468,2.2343,1.6118,1.1149,0.8632,0.2907,0.1497
0.0000,1.1001,2.7350,3.3267,7.2385,9.5784,6.8099,18.0410,23.1158,29.3354,37.6181,51.1699,75.2662,101.0201,129.5247,232.4548,124.9912,83.5757,57.2917,34.2460,17.5453,11.2115,7.9339,6.0359,4.1358,2.8504,2.0595,1.4283,1.1078,0.3825,0.2038
0.0000,0.8929,2.2325,4.0538,5.9223,7.8389,11.7556,14.7719,18.9287,24.0231,30.8070,41.9086,61.6533,82.7661,106.2356,128.4870,102.5190,68.4649,46.9175,28.0342,14.3510,9.1647,6.4822,4.9297,3.3746,2.3228,1.6760,1.1598,0.8982,0.3037,0.1573
0.0000,0.5339,1.3578,2.4780,3.6267,4.8045,7.2137,9.0671,11.6222,14.7531,18.9228,25.7505,37.9034,50.9145,65.4402,79.2469,63.1508,42.1048,28.8260,17.2035,8.7854,5.5996,3.9544,3.0038,2.0502,1.4058,1.0103,0.6945,0.5353,0.1692,0.0792
