X(mm),Y(mm),Velocity(mm/s)
-35.723,78.994,500.000000
-34.717,78.994,500.000000
-33.711,78.994,500.000000
-32.704,78.994,500.000000
-31.698,78.994,500.000000
-30.692,78.994,500.000000
-29.686,78.994,500.000000
-28.679,78.994,500.000000
-27.673,78.994,500.000000
-26.667,78.994,500.000000
-25.660,78.994,500.000000
-24.654,78.994,500.000000
-23.648,78.994,500.000000
-22.642,78.994,500.000000
-21.635,78.994,500.000000
-20.629,78.994,500.000000
-19.623,78.994,500.000000
-18.616,78.994,500.000000
-17.610,78.994,500.000000
-16.604,78.994,500.000000
-15.597,78.994,500.000000
-14.591,78.994,500.000000
-13.585,78.994,500.000000
-12.579,78.994,500.000000
-11.572,78.994,500.000000
-10.566,78.994,500.000000
-9.560,78.994,500.000000
-8.553,78.994,500.000000
-7.547,78.994,500.000000
-6.541,78.994,500.000000
-5.535,78.994,500.000000
-4.528,78.994,500.000000
-3.522,78.994,500.000000
-2.516,78.994,500.000000
-1.509,78.994,500.000000
-0.503,78.994,500.000000
0.503,78.994,500.000000
1.509,78.994,500.000000
2.516,78.994,500.000000
3.522,78.994,500.000000
4.528,78.994,500.000000
5.535,78.994,500.000000
6.541,78.994,500.000000
7.547,78.994,500.000000
8.553,78.994,500.000000
9.560,78.994,500.000000
10.566,78.994,500.000000
11.572,78.994,500.000000
12.579,78.994,500.000000
13.585,78.994,500.000000
14.591,78.994,500.000000
15.597,78.994,500.000000
16.604,78.994,500.000000
17.610,78.994,500.000000
18.616,78.994,500.000000
19.623,78.994,500.000000
20.629,78.994,500.000000
21.635,78.994,500.000000
22.642,78.994,500.000000
23.648,78.994,500.000000
24.654,78.994,500.000000
25.660,78.994,500.000000
26.667,78.994,500.000000
27.673,78.994,500.000000
28.679,78.994,500.000000
29.686,78.994,500.000000
30.692,78.994,500.000000
31.698,78.994,500.000000
32.704,78.994,500.000000
33.711,78.994,500.000000
34.717,78.994,500.000000
35.723,78.994,500.000000
36.730,78.994,500.000000
37.736,78.994,500.000000
38.742,78.994,500.000000
39.748,78.994,500.000000
40.755,78.994,500.000000
41.761,78.994,500.000000
42.767,78.994,500.000000
43.774,78.994,500.000000
44.780,78.994,500.000000
45.786,78.994,500.000000
46.792,78.994,500.000000
47.799,78.994,500.000000
48.805,78.994,500.000000
49.811,78.994,500.000000
50.818,78.994,500.000000
51.824,78.994,500.000000
52.830,78.994,500.000000
53.836,78.994,500.000000
54.843,78.994,500.000000
55.849,78.994,500.000000
56.855,78.994,500.000000
57.862,78.994,500.000000
58.868,78.994,500.000000
59.874,78.994,500.000000
60.881,78.994,500.000000
61.887,78.994,500.000000
62.893,78.994,500.000000
63.899,78.994,500.000000
64.906,78.994,500.000000
65.912,78.994,500.000000
66.918,78.994,500.000000
67.925,78.994,500.000000
68.931,78.994,500.000000
69.937,78.994,500.000000
70.943,78.994,500.000000
71.950,78.994,500.000000
72.956,78.994,500.000000
73.962,78.994,500.000000
74.969,78.994,500.000000
75.975,78.994,500.000000
76.981,78.994,500.000000
77.987,78.994,500.000000
78.994,78.994,500.000000
80.000,78.994,500.000000
-80.000,77.987,500.000000
-78.994,77.987,500.000000
-77.987,77.987,500.000000
-76.981,77.987,500.000000
-75.975,77.987,500.000000
-74.969,77.987,500.000000
-73.962,77.987,500.000000
-72.956,77.987,500.000000
-71.950,77.987,500.000000
-70.943,77.987,500.000000
-69.937,77.987,500.000000
-68.931,77.987,500.000000
-67.925,77.987,500.000000
-66.918,77.987,500.000000
-65.912,77.987,500.000000
-64.906,77.987,500.000000
-63.899,77.987,500.000000
-62.893,77.987,500.000000
-61.887,77.987,500.000000
-60.881,77.987,500.000000
-59.874,77.987,500.000000
-58.868,77.987,500.000000
-57.862,77.987,500.000000
-56.855,77.987,500.000000
-55.849,77.987,500.000000
-54.843,77.987,500.000000
-53.836,77.987,500.000000
-52.830,77.987,500.000000
-51.824,77.987,500.000000
-50.818,77.987,500.000000
-49.811,77.987,500.000000
-48.805,77.987,500.000000
-47.799,77.987,500.000000
-46.792,77.987,500.000000
-45.786,77.987,500.000000
-44.780,77.987,500.000000
-43.774,77.987,500.000000
-42.767,77.987,500.000000
-41.761,77.987,500.000000
-40.755,77.987,500.000000
-39.748,77.987,500.000000
-38.742,77.987,500.000000
-37.736,77.987,500.000000
-36.730,77.987,500.000000
-35.723,77.987,500.000000
-34.717,77.987,500.000000
-33.711,77.987,500.000000
-32.704,77.987,500.000000
-31.698,77.987,500.000000
-30.692,77.987,500.000000
-29.686,77.987,500.000000
-28.679,77.987,500.000000
-27.673,77.987,500.000000
-26.667,77.987,500.000000
-25.660,77.987,500.000000
-24.654,77.987,500.000000
-23.648,77.987,500.000000
-22.642,77.987,500.000000
-21.635,77.987,500.000000
-20.629,77.987,500.000000
-19.623,77.987,500.000000
-18.616,77.987,500.000000
-17.610,77.987,500.000000
-16.604,77.987,500.000000
-15.597,77.987,500.000000
-14.591,77.987,500.000000
-13.585,77.987,500.000000
-12.579,77.987,500.000000
-11.572,77.987,500.000000
-10.566,77.987,500.000000
-9.560,77.987,500.000000
-8.553,77.987,500.000000
-7.547,77.987,500.000000
-6.541,77.987,500.000000
-5.535,77.987,500.000000
-4.528,77.987,500.000000
-3.522,77.987,500.000000
-2.516,77.987,500.000000
-1.509,77.987,500.000000
-0.503,77.987,500.000000
0.503,77.987,500.000000
1.509,77.987,500.000000
2.516,77.987,500.000000
3.522,77.987,500.000000
4.528,77.987,500.000000
5.535,77.987,500.000000
6.541,77.987,500.000000
7.547,77.987,500.000000
8.553,77.987,500.000000
9.560,77.987,500.000000
10.566,77.987,500.000000
11.572,77.987,500.000000
12.579,77.987,500.000000
13.585,77.987,500.000000
14.591,77.987,500.000000
15.597,77.987,500.000000
16.604,77.987,500.000000
17.610,77.987,500.000000
18.616,77.987,500.000000
19.623,77.987,500.000000
20.629,77.987,500.000000
21.635,77.987,500.000000
22.642,77.987,500.000000
23.648,77.987,500.000000
24.654,77.987,500.000000
25.660,77.987,500.000000
26.667,77.987,500.000000
27.673,77.987,500.000000
28.679,77.987,500.000000
29.686,77.987,500.000000
30.692,77.987,500.000000
31.698,77.987,500.000000
32.704,77.987,500.000000
33.711,77.987,500.000000
34.717,77.987,500.000000
35.723,77.987,500.000000
36.730,77.987,500.000000
37.736,77.987,500.000000
38.742,77.987,500.000000
39.748,77.987,500.000000
40.755,77.987,500.000000
41.761,77.987,500.000000
42.767,77.987,500.000000
43.774,77.987,500.000000
44.780,77.987,500.000000
45.786,77.987,500.000000
46.792,77.987,500.000000
47.799,77.987,500.000000
48.805,77.987,500.000000
49.811,77.987,500.000000
50.818,77.987,500.000000
51.824,77.987,500.000000
52.830,77.987,500.000000
53.836,77.987,500.000000
54.843,77.987,500.000000
55.849,77.987,500.000000
56.855,77.987,500.000000
57.862,77.987,500.000000
58.868,77.987,500.000000
59.874,77.987,500.000000
60.881,77.987,500.000000
